frame,time_sec,lane,vehicle_count,queue_length,density,avg_speed,count_change,category
690,23,east,15,2,4.7466,21.34,5,MEDIUM
695,23.17,east,19,4,5.2824,25.56,4,HIGH
700,23.33,east,18,6,5.4106,26.74,1,HIGH
705,23.5,east,14,2,4.5828,16.26,4,MEDIUM
710,23.67,east,14,2,4.5177,26.47,0,MEDIUM
715,23.83,east,15,2,4.0622,24.01,1,MEDIUM
720,24,east,18,6,4.8851,14.18,3,HIGH
725,24.17,east,14,4,3.1556,23.04,4,MEDIUM
730,24.33,east,15,4,3.4651,20.37,1,MEDIUM
735,24.5,east,14,4,3.0028,27.59,1,MEDIUM
740,24.67,east,15,4,3.8653,28.94,1,MEDIUM
745,24.83,east,15,4,3.7332,20.5,0,MEDIUM
750,25,east,14,4,3.6573,16.5,1,MEDIUM
755,25.16,east,16,5,3.219,22.62,2,HIGH
760,25.33,east,15,4,3.0515,11.41,1,MEDIUM
765,25.5,east,14,4,3.3054,18.73,1,MEDIUM
770,25.66,east,13,3,3.6937,21.39,1,MEDIUM
775,25.83,east,14,4,4.0902,19.62,1,MEDIUM
780,26,east,16,4,4.3918,25.32,2,HIGH
785,26.16,east,15,4,3.9941,18.99,1,MEDIUM
790,26.33,east,16,4,4.6177,19.23,1,HIGH
795,26.5,east,15,3,4.6644,13.72,1,MEDIUM
800,26.66,east,15,2,4.452,17.83,0,MEDIUM
805,26.83,east,13,2,3.7534,26.13,2,MEDIUM
810,27,east,13,2,3.4603,17.29,0,MEDIUM
815,27.16,east,14,2,3.421,13.07,1,MEDIUM
820,27.33,east,14,2,3.0751,22.46,0,MEDIUM
825,27.5,east,14,4,2.9826,26.72,0,MEDIUM
830,27.66,east,12,2,2.998,19.79,2,MEDIUM
835,27.83,east,14,2,3.294,19.01,2,MEDIUM
840,28,east,12,2,2.8146,29.08,2,MEDIUM
845,28.16,east,12,4,2.6384,23.59,0,MEDIUM
850,28.33,east,14,6,3.2148,29.32,2,MEDIUM
855,28.5,east,15,2,4.2941,30.28,1,MEDIUM
860,28.66,east,14,0,4.01,25.5,1,MEDIUM
865,28.83,east,11,0,2.9742,22.68,3,MEDIUM
870,29,east,14,0,3.438,24.58,3,MEDIUM
875,29.16,east,13,2,3.11,21.52,1,MEDIUM
880,29.33,east,11,0,2.313,24.65,2,MEDIUM
885,29.5,east,13,2,3.1348,22.81,2,MEDIUM
890,29.66,east,11,2,3.304,20.33,2,MEDIUM
895,29.83,east,13,3,3.5781,30.59,2,MEDIUM
900,30,east,14,2,3.6912,27.29,1,MEDIUM
905,30.16,east,12,2,3.4306,21.57,2,MEDIUM
910,30.33,east,11,2,3.3454,16.92,1,MEDIUM
915,30.5,east,11,2,4.3771,25.91,0,MEDIUM
920,30.66,east,10,3,3.0178,23.77,1,MEDIUM
925,30.83,east,9,0,3.1938,25.5,1,MEDIUM
930,31,east,8,3,2.893,17.4,1,MEDIUM
935,31.16,east,12,5,3.583,31.14,4,MEDIUM
940,31.33,east,11,5,3.78,11.38,1,MEDIUM
945,31.5,east,14,6,4.165,14.29,3,MEDIUM
950,31.66,east,14,4,3.9005,21.01,0,MEDIUM
955,31.83,east,12,5,1.6304,21.22,2,MEDIUM
960,32,east,12,4,2.1355,13,0,MEDIUM
965,32.16,east,12,6,2.8639,18.61,0,MEDIUM
970,32.33,east,12,6,3.1869,16.41,0,MEDIUM
975,32.5,east,15,9,3.8536,33.94,3,MEDIUM
980,32.66,east,11,4,3.2673,20.98,4,MEDIUM
985,32.83,east,13,2,4.1804,18.9,2,MEDIUM
990,33,east,11,2,4.018,32.24,2,MEDIUM
995,33.16,east,12,4,2.8256,36.68,1,MEDIUM
1000,33.33,east,13,6,3.0074,24.87,1,MEDIUM
1005,33.5,east,11,2,3.0177,15.31,2,MEDIUM
1010,33.66,east,11,2,3.2406,25.86,0,MEDIUM
1015,33.83,east,13,4,3.2083,19.37,2,MEDIUM
1020,34,east,14,8,2.7119,38.34,1,MEDIUM
1025,34.16,east,15,7,2.7502,22.47,1,MEDIUM
1030,34.33,east,12,4,2.7052,27.34,3,MEDIUM
1035,34.5,east,12,4,3.1677,18.51,0,MEDIUM
1040,34.66,east,13,4,3.1192,23.36,1,MEDIUM
1045,34.83,east,13,3,2.605,19.29,0,MEDIUM
1050,35,east,14,2,2.625,24.28,1,MEDIUM
1055,35.16,east,13,3,2.2594,27.85,1,MEDIUM
1060,35.33,east,12,2,2.3625,39.84,1,MEDIUM
1065,35.5,east,14,3,3.0795,18.36,2,MEDIUM
1070,35.66,east,14,4,3.6655,23.93,0,MEDIUM
1075,35.83,east,11,2,3.1173,21.61,3,MEDIUM
1080,36,east,10,0,3.1726,21.07,1,MEDIUM
1085,36.16,east,10,0,3.0196,22.02,0,MEDIUM
1090,36.33,east,12,4,2.6074,26.55,2,MEDIUM
1095,36.5,east,12,7,2.56,25.31,0,MEDIUM
1100,36.66,east,14,6,2.9265,33.91,2,MEDIUM
1105,36.83,east,15,6,2.6419,21.5,1,MEDIUM
1110,37,east,15,5,2.8422,25.43,0,MEDIUM
1115,37.16,east,18,9,3.7397,32.04,3,HIGH
1120,37.33,east,16,7,3.7179,16.21,2,HIGH
1125,37.5,east,15,6,3.0713,28.36,1,MEDIUM
1130,37.66,east,17,4,4.0477,36.4,2,HIGH
1135,37.83,east,14,2,4.122,20.52,3,MEDIUM
1140,38,east,14,4,3.7249,19.85,0,MEDIUM
1145,38.16,east,15,3,3.8886,31.36,1,MEDIUM
1150,38.33,east,17,4,5.7111,25.37,2,HIGH
1155,38.5,east,18,6,5.0222,23.84,1,HIGH
1160,38.66,east,14,0,3.1258,16.03,4,MEDIUM
1165,38.83,east,17,4,4.7456,34.67,3,HIGH
1170,39,east,14,3,4.7373,14.21,3,MEDIUM
1175,39.16,east,16,5,5.0406,17.9,2,HIGH
1180,39.33,east,16,2,4.9995,23.23,0,HIGH
1185,39.5,east,13,0,3.0463,20.69,3,MEDIUM
1190,39.66,east,15,4,3.306,23.22,2,MEDIUM
1195,39.83,east,16,4,3.9622,19.39,1,HIGH
1200,40,east,14,4,4.0449,23.18,2,MEDIUM
1205,40.16,east,12,0,3.4762,21.88,2,MEDIUM
1210,40.33,east,12,0,3.3266,17.65,0,MEDIUM
1215,40.5,east,13,0,3.6011,17.04,1,MEDIUM
1220,40.66,east,13,0,3.9119,23.4,0,MEDIUM
1225,40.83,east,15,4,4.0273,26.62,2,MEDIUM
1230,41,east,16,6,3.6907,16.24,1,HIGH
1235,41.16,east,14,2,3.1043,19.49,2,MEDIUM
1240,41.33,east,17,6,3.7025,31.46,3,HIGH
1245,41.5,east,16,5,3.4498,28.12,1,HIGH
1250,41.66,east,15,2,3.734,24.54,1,MEDIUM
1255,41.83,east,13,2,3.677,13.73,2,MEDIUM
1260,42,east,13,2,3.289,29.62,0,MEDIUM
1265,42.16,east,15,2,2.2736,22.15,2,MEDIUM
1270,42.33,east,15,2,3.0862,24.78,0,MEDIUM
1275,42.5,east,13,0,2.5826,18.93,2,MEDIUM
1280,42.66,east,17,2,3.5868,29.71,4,HIGH
1285,42.83,east,17,0,3.8254,26.4,0,HIGH
1290,43,east,14,0,3.8282,19.39,3,MEDIUM
1295,43.16,east,18,4,4.4061,39.45,4,HIGH
1300,43.33,east,19,10,5.01,31.52,1,HIGH
1305,43.5,east,16,4,4.244,22.36,3,HIGH
1310,43.66,east,14,2,4.3783,17.64,2,MEDIUM
1315,43.83,east,15,2,3.5684,36.48,1,MEDIUM
1320,44,east,17,5,4.1385,27.85,2,HIGH
1325,44.16,east,16,6,3.5295,16.47,1,HIGH
1330,44.33,east,15,2,2.9787,23.06,1,MEDIUM
1335,44.5,east,15,4,2.6144,25.37,0,MEDIUM
1340,44.66,east,16,7,2.4622,20.88,1,HIGH
1345,44.83,east,15,4,2.7627,22.34,1,MEDIUM
1350,45,east,12,5,2.4663,15.49,3,MEDIUM
1355,45.16,east,12,4,2.5633,21.57,0,MEDIUM
1360,45.33,east,12,2,3.0363,23.87,0,MEDIUM
1365,45.5,east,12,2,2.9263,20.73,0,MEDIUM
1370,45.66,east,15,2,2.9542,24.23,3,MEDIUM
1375,45.83,east,11,2,2.2769,18.15,4,MEDIUM
1380,46,east,12,5,2.4189,24.16,1,MEDIUM
1385,46.16,east,14,6,3.0843,11.72,2,MEDIUM
1390,46.33,east,13,5,3.2563,23.12,1,MEDIUM
1395,46.5,east,14,6,3.5285,20.21,1,MEDIUM
1400,46.66,east,14,5,3.5286,19.95,0,MEDIUM
1405,46.83,east,13,9,3.3666,11.37,1,MEDIUM
1410,47,east,11,6,2.8848,22.93,2,MEDIUM
1415,47.16,east,13,6,4.0081,23.34,2,MEDIUM
1420,47.33,east,15,7,3.8547,28.19,2,MEDIUM
1425,47.5,east,17,8,4.3115,16.26,2,HIGH
1430,47.66,east,14,2,4.2026,28.85,3,MEDIUM
1435,47.83,east,15,4,4.1375,30.9,1,MEDIUM
1440,48,east,18,4,4.4831,28.9,3,HIGH
1445,48.16,east,15,4,4.2788,20.5,3,MEDIUM
1450,48.33,east,16,2,4.9624,33.57,1,HIGH
1455,48.5,east,14,2,4.7895,18.37,2,MEDIUM
1460,48.66,east,15,2,5.0947,20.04,1,MEDIUM
1465,48.83,east,15,2,5.1821,19.24,0,MEDIUM
1470,49,east,14,4,5.891,32.2,1,MEDIUM
1475,49.16,east,16,4,6.2732,29.03,2,HIGH
1480,49.33,east,14,2,6.4817,17.42,2,MEDIUM
1485,49.5,east,14,2,6.3812,30.42,0,MEDIUM
1490,49.66,east,14,0,4.4035,31.1,0,MEDIUM
1495,49.83,east,11,4,3.0412,25.78,3,MEDIUM
1500,50,east,9,2,2.0276,15.45,2,MEDIUM
1505,50.16,east,12,4,2.2208,28.36,3,MEDIUM
1510,50.33,east,10,4,1.8115,23.24,2,MEDIUM
1515,50.5,east,9,2,1.9438,13.75,1,MEDIUM
1520,50.66,east,9,2,1.8925,12.17,0,MEDIUM
1525,50.83,east,11,0,1.6939,24,2,MEDIUM
1530,51,east,14,5,2.3542,33.91,3,MEDIUM
1535,51.16,east,11,3,1.9797,19.3,3,MEDIUM
1540,51.33,east,12,3,2.1106,28.48,1,MEDIUM
1545,51.5,east,12,2,2.7296,27.63,0,MEDIUM
1550,51.66,east,14,0,3.2386,36.55,2,MEDIUM
1555,51.83,east,13,0,3.4361,16.63,1,MEDIUM
1560,52,east,14,2,3.9995,31.97,1,MEDIUM
1565,52.16,east,12,0,4.2043,37.37,2,MEDIUM
1570,52.33,east,11,0,3.9405,25.6,1,MEDIUM
1575,52.5,east,9,0,3.8872,31.74,2,MEDIUM
1580,52.66,east,11,4,4.506,36.22,2,MEDIUM
1585,52.83,east,12,2,3.4575,33.39,1,MEDIUM
1590,53,east,10,2,4.0529,25.61,2,MEDIUM
1595,53.16,east,10,2,4.2214,24.89,0,MEDIUM
1600,53.33,east,12,4,4.4424,37.61,2,MEDIUM
1605,53.5,east,13,2,4.8455,31.06,1,MEDIUM
1610,53.66,east,10,2,4.3276,27.97,3,MEDIUM
1615,53.83,east,11,2,4.4534,24.95,1,MEDIUM
1620,54,east,11,4,3.8033,29.15,0,MEDIUM
1625,54.16,east,9,0,3.3047,18.92,2,MEDIUM
1630,54.33,east,11,0,3.6211,27.52,2,MEDIUM
1635,54.5,east,12,0,2.9961,13.72,1,MEDIUM
1640,54.66,east,12,0,3.3858,27.51,0,MEDIUM
1645,54.83,east,10,0,3.3365,18.59,2,MEDIUM
1650,55,east,14,6,3.9462,35.9,4,MEDIUM
1655,55.16,east,14,3,2.8809,21.83,0,MEDIUM
1660,55.33,east,14,3,3.1281,19.33,0,MEDIUM
1665,55.5,east,15,3,3.1572,27.08,1,MEDIUM
1670,55.66,east,15,5,2.8753,26.96,0,MEDIUM
1675,55.83,east,15,2,3.4189,40.27,0,MEDIUM
1680,56,east,14,2,3.0575,23.37,1,MEDIUM
1685,56.16,east,11,6,2.8242,20.3,3,MEDIUM
1690,56.33,east,15,8,3.6251,33.32,4,MEDIUM
1695,56.5,east,16,8,4.3816,24.41,1,HIGH
1700,56.66,east,15,7,3.6798,25.04,1,MEDIUM
1705,56.83,east,14,6,3.4129,33.68,1,MEDIUM
1710,57,east,15,5,3.6035,22.5,1,MEDIUM
1715,57.16,east,11,4,2.4688,18.82,4,MEDIUM
1720,57.33,east,15,4,4.4276,25.19,4,MEDIUM
1725,57.5,east,19,8,4.2888,28.24,4,HIGH
1730,57.66,east,14,7,3.3082,17.65,5,MEDIUM
1735,57.83,east,15,8,2.9476,20.02,1,MEDIUM
1740,58,east,15,6,2.4464,22.18,0,MEDIUM
1745,58.16,east,14,6,2.8577,20.73,1,MEDIUM
1750,58.33,east,15,6,3.0985,18.82,1,MEDIUM
1755,58.5,east,15,7,3.6004,29.32,0,MEDIUM
1760,58.66,east,13,5,2.516,16.98,2,MEDIUM
1765,58.83,east,17,10,4.0618,24.81,4,HIGH
1770,59,east,14,4,3.8928,26.76,3,MEDIUM
1775,59.16,east,16,4,3.9619,27.86,2,HIGH
1780,59.33,east,15,7,3.7904,26.64,1,MEDIUM
1785,59.5,east,14,6,3.7284,16.87,1,MEDIUM
1790,59.66,east,14,5,3.8402,25.66,0,MEDIUM
1795,59.83,east,14,5,2.6907,16.5,0,MEDIUM
1800,60,east,12,5,2.4137,17.76,2,MEDIUM
1805,60.16,east,12,3,2.1576,20.68,0,MEDIUM
1810,60.33,east,17,5,3.1191,25.8,5,HIGH
1815,60.5,east,14,5,2.7493,17.22,3,MEDIUM
1820,60.66,east,14,7,2.8844,26.16,0,MEDIUM
1825,60.83,east,12,2,2.5945,22.33,2,MEDIUM
1830,61,east,13,2,2.6833,24.04,1,MEDIUM
1835,61.16,east,15,4,3.9002,31.53,2,MEDIUM
1840,61.33,east,15,5,4.162,20.81,0,MEDIUM
1845,61.5,east,14,3,4.0277,21.33,1,MEDIUM
1850,61.66,east,16,7,5.5701,34.6,2,HIGH
1855,61.83,east,15,3,2.663,23.35,1,MEDIUM
1860,62,east,11,2,2.1263,12.75,4,MEDIUM
1865,62.16,east,14,2,2.7905,21.39,3,MEDIUM
1870,62.33,east,13,2,3.0007,17.1,1,MEDIUM
1875,62.5,east,11,0,2.0558,26.89,2,MEDIUM
1880,62.66,east,14,4,2.5298,28.18,3,MEDIUM
1885,62.83,east,12,4,2.1312,18.23,2,MEDIUM
1890,63,east,14,4,2.912,15.05,2,MEDIUM
1895,63.16,east,15,4,3.2592,20.95,1,MEDIUM
1900,63.33,east,16,4,3.4703,20.74,1,HIGH
1905,63.5,east,18,4,4.3444,34.25,2,HIGH
1910,63.66,east,17,4,4.4882,19.04,1,HIGH
1915,63.83,east,17,2,4.5422,23.55,0,HIGH
1920,64,east,15,2,4.2516,17.67,2,MEDIUM
1925,64.16,east,15,2,3.4124,32.34,0,MEDIUM
1930,64.33,east,17,6,4.7719,24.48,2,HIGH
1935,64.5,east,15,6,4.2917,16.55,2,MEDIUM
1940,64.66,east,14,5,4.2128,23.21,1,MEDIUM
1945,64.83,east,16,5,4.1788,23.17,2,HIGH
1950,65,east,17,7,4.4731,20.78,1,HIGH
1955,65.16,east,17,8,4.3286,17.26,0,HIGH
1960,65.33,east,14,6,4.2744,36.12,3,MEDIUM
1965,65.5,east,16,7,4.0444,35.84,2,HIGH
1970,65.66,east,17,9,4.8026,29.78,1,HIGH
1975,65.83,east,13,5,3.4975,17.51,4,MEDIUM
1980,66,east,17,7,4.6959,43.62,4,HIGH
1985,66.16,east,15,7,4.1413,16.15,2,MEDIUM
1990,66.33,east,16,7,4.1604,16.49,1,HIGH
1995,66.5,east,17,9,4.083,15.66,1,HIGH
2000,66.66,east,14,8,2.8216,22.33,3,MEDIUM
2005,66.83,east,14,6,3.4582,24.5,0,MEDIUM
2010,67,east,15,6,4.0587,19.99,1,MEDIUM
2015,67.16,east,15,6,4.0751,16.58,0,MEDIUM
2020,67.33,east,16,4,3.8474,30.63,1,HIGH
2025,67.5,east,16,3,3.6079,18.17,0,HIGH
2030,67.66,east,13,3,2.5478,20.34,3,MEDIUM
2035,67.83,east,16,3,3.2815,35.58,3,HIGH
2040,68,east,14,3,3.1141,22.32,2,MEDIUM
2045,68.16,east,14,5,3.0974,25.5,0,MEDIUM
2050,68.33,east,11,3,2.8343,23.24,3,MEDIUM
2055,68.5,east,14,5,2.9721,31.02,3,MEDIUM
2060,68.66,east,12,2,3.0701,22.37,2,MEDIUM
2065,68.83,east,15,6,3.2771,33.22,3,MEDIUM
2070,69,east,12,6,3.0141,17.21,3,MEDIUM
2075,69.16,east,11,0,2.7514,20.39,1,MEDIUM
2080,69.33,east,11,2,2.773,21.7,0,MEDIUM
2085,69.5,east,12,0,3.0818,25.48,1,MEDIUM
2090,69.66,east,11,0,3.3384,25.37,1,MEDIUM
2095,69.83,east,14,2,3.8279,32.19,3,MEDIUM
2100,70,east,12,0,3.4661,23.34,2,MEDIUM
2105,70.16,east,13,2,4.4289,26.1,1,MEDIUM
2110,70.33,east,13,2,4.0145,21.53,0,MEDIUM
2115,70.5,east,13,4,3.8124,33.48,0,MEDIUM
2120,70.66,east,12,2,4.0009,23.88,1,MEDIUM
2125,70.83,east,12,5,3.9982,20.71,0,MEDIUM
2130,71,east,13,4,4.1081,36.4,1,MEDIUM
2135,71.16,east,15,5,4.4558,34.95,2,MEDIUM
2140,71.33,east,14,5,4.7992,21.75,1,MEDIUM
2145,71.5,east,12,5,5.2945,15.41,2,MEDIUM
2150,71.66,east,12,3,4.2201,20.47,0,MEDIUM
2155,71.83,east,12,5,5.5514,23,0,MEDIUM
2160,72,east,14,3,5.3023,39.11,2,MEDIUM
2165,72.16,east,14,3,5.2452,14.66,0,MEDIUM
2170,72.33,east,9,3,1.9083,18.75,5,MEDIUM
2175,72.5,east,12,3,2.4902,26.55,3,MEDIUM
2180,72.66,east,14,6,2.4256,22.88,2,MEDIUM
2185,72.83,east,12,3,2.2306,23,2,MEDIUM
2190,73,east,11,2,1.8806,23.55,1,MEDIUM
2195,73.16,east,14,6,2.4701,27.6,3,MEDIUM
2200,73.33,east,12,4,2.3079,23.17,2,MEDIUM
2205,73.5,east,14,4,2.6391,34.63,2,MEDIUM
2210,73.66,east,15,6,2.7046,35.27,1,MEDIUM
2215,73.83,east,12,2,2.368,13.79,3,MEDIUM
2220,74,east,10,0,1.7466,9.93,2,MEDIUM
2225,74.16,east,11,0,2.0032,18.85,1,MEDIUM
2230,74.33,east,10,2,1.9933,25.78,1,MEDIUM
2235,74.49,east,12,2,1.9307,25.63,2,MEDIUM
2240,74.66,east,12,0,1.8689,28.45,0,MEDIUM
2245,74.83,east,11,2,1.679,30.75,1,MEDIUM
2250,74.99,east,10,0,1.4937,23.78,1,MEDIUM
2255,75.16,east,14,6,1.9445,27.07,4,MEDIUM
2260,75.33,east,12,6,1.9152,8.08,2,MEDIUM
2265,75.49,east,13,6,2.4727,27.86,1,MEDIUM
2270,75.66,east,13,6,2.4908,28.43,0,MEDIUM
2275,75.83,east,14,6,2.5618,35.25,1,MEDIUM
2280,75.99,east,15,7,2.7,22.15,1,MEDIUM
2285,76.16,east,14,9,2.7141,23.74,1,MEDIUM
2290,76.33,east,17,11,2.9922,23.71,3,HIGH
2295,76.49,east,16,10,2.5632,20.32,1,HIGH
2300,76.66,east,17,12,3.1399,18.63,1,HIGH
2305,76.83,east,15,10,2.8508,18.08,2,MEDIUM
2310,76.99,east,14,6,2.7078,16.3,1,MEDIUM
2315,77.16,east,16,6,2.9073,21.07,2,HIGH
2320,77.33,east,15,6,3.1479,21.35,1,MEDIUM
2325,77.49,east,13,6,2.8638,22.23,2,MEDIUM
2330,77.66,east,14,7,2.9351,28.79,1,MEDIUM
2335,77.83,east,13,8,2.5495,14.1,1,MEDIUM
