frame,time_sec,lane,vehicle_count,queue_length,density,avg_speed,count_change,category
245,8.17,traffic7,12,4,4.3554,64.16,13,MEDIUM
250,8.34,traffic7,13,2,4.6085,21.66,1,MEDIUM
255,8.51,traffic7,14,4,4.6102,18.31,1,MEDIUM
260,8.67,traffic7,14,2,4.9347,12.93,0,MEDIUM
265,8.84,traffic7,14,2,5.0262,6.67,0,MEDIUM
270,9.01,traffic7,13,0,4.5792,15.11,1,MEDIUM
275,9.17,traffic7,13,0,5.0729,13.19,0,MEDIUM
280,9.34,traffic7,15,2,5.6302,10.1,2,MEDIUM
285,9.51,traffic7,13,0,4.6138,5.6,2,MEDIUM
290,9.67,traffic7,14,0,5.0105,8.53,1,MEDIUM
295,9.84,traffic7,13,0,4.7905,6.55,1,MEDIUM
300,10.01,traffic7,11,0,3.9809,6.92,2,MEDIUM
305,10.17,traffic7,13,0,4.6317,4.37,2,MEDIUM
310,10.34,traffic7,15,2,4.9721,8.76,2,MEDIUM
315,10.51,traffic7,12,0,4.3654,5.35,3,MEDIUM
320,10.67,traffic7,14,0,4.5936,14.85,2,MEDIUM
325,10.84,traffic7,16,2,5.2212,11.6,2,HIGH
330,11.01,traffic7,14,0,4.7895,7.0,2,MEDIUM
335,11.17,traffic7,17,2,5.4829,5.64,3,HIGH
340,11.34,traffic7,15,3,5.2643,7.57,2,MEDIUM
345,11.51,traffic7,16,3,5.0722,3.99,1,HIGH
350,11.67,traffic7,13,0,4.6561,5.84,3,MEDIUM
355,11.84,traffic7,13,0,4.5902,4.23,0,MEDIUM
360,12.01,traffic7,13,2,4.4395,5.88,0,MEDIUM
365,12.17,traffic7,14,2,4.7049,4.8,1,MEDIUM
370,12.34,traffic7,14,0,4.8251,5.99,0,MEDIUM
375,12.51,traffic7,16,2,4.6021,5.05,2,HIGH
380,12.67,traffic7,18,0,4.7318,21.18,2,HIGH
385,12.84,traffic7,13,0,4.0392,4.16,5,MEDIUM
390,13.01,traffic7,10,0,3.721,5.66,3,MEDIUM
395,13.17,traffic7,15,4,4.1721,16.31,5,MEDIUM
400,13.34,traffic7,14,0,4.0286,16.34,1,MEDIUM
405,13.51,traffic7,15,2,4.2306,10.12,1,MEDIUM
410,13.67,traffic7,12,2,3.9441,7.81,3,MEDIUM
415,13.84,traffic7,13,0,3.8114,20.98,1,MEDIUM
420,14.01,traffic7,11,2,3.5575,10.34,2,MEDIUM
425,14.18,traffic7,10,0,3.4744,3.59,1,MEDIUM
430,14.34,traffic7,10,3,3.5809,22.78,0,MEDIUM
435,14.51,traffic7,11,3,3.847,13.9,1,MEDIUM
440,14.68,traffic7,9,2,3.4894,4.55,2,MEDIUM
445,14.84,traffic7,9,0,3.4383,14.59,0,MEDIUM
450,15.01,traffic7,10,2,3.4728,10.48,1,MEDIUM
455,15.18,traffic7,9,0,3.3274,6.81,1,MEDIUM
460,15.34,traffic7,11,2,3.6418,21.65,2,MEDIUM
465,15.51,traffic7,12,4,3.6038,6.72,1,MEDIUM
470,15.68,traffic7,8,2,3.3425,13.93,4,MEDIUM
475,15.84,traffic7,9,0,3.5597,17.88,1,MEDIUM
480,16.01,traffic7,9,0,3.3495,3.3,0,MEDIUM
485,16.18,traffic7,12,2,3.73,29.73,3,MEDIUM
490,16.34,traffic7,10,0,3.4393,6.24,2,MEDIUM
495,16.51,traffic7,8,0,3.3082,1.92,2,MEDIUM
500,16.68,traffic7,7,0,3.1396,4.65,1,MEDIUM
505,16.84,traffic7,10,2,3.3736,5.68,3,MEDIUM
510,17.01,traffic7,7,0,3.1846,25.03,3,MEDIUM
515,17.18,traffic7,8,0,3.2581,3.08,1,MEDIUM
520,17.34,traffic7,7,0,3.2464,8.36,1,MEDIUM
525,17.51,traffic7,8,0,3.1166,10.14,1,MEDIUM
530,17.68,traffic7,10,0,3.4832,9.91,2,MEDIUM
535,17.84,traffic7,11,0,3.5048,10.88,1,MEDIUM
540,18.01,traffic7,10,0,3.5064,12.52,1,MEDIUM
545,18.18,traffic7,10,0,3.497,8.15,0,MEDIUM
550,18.34,traffic7,9,2,3.3864,22.46,1,MEDIUM
555,18.51,traffic7,9,0,3.4471,22.78,0,MEDIUM
560,18.68,traffic7,10,0,3.6656,15.38,1,MEDIUM
565,18.84,traffic7,9,0,3.5989,19.26,1,MEDIUM
570,19.01,traffic7,6,0,3.5685,10.71,3,MEDIUM
575,19.18,traffic7,7,0,3.548,8.74,1,MEDIUM
580,19.35,traffic7,10,2,3.7301,21.56,3,MEDIUM
585,19.51,traffic7,14,4,4.0843,23.79,4,MEDIUM
590,19.68,traffic7,9,2,3.8369,10.98,5,MEDIUM
595,19.85,traffic7,9,0,3.9676,10.66,0,MEDIUM
600,20.01,traffic7,9,0,4.0342,11.99,0,MEDIUM
605,20.18,traffic7,8,0,3.9108,8.48,1,MEDIUM
610,20.35,traffic7,9,4,4.7614,13.13,1,MEDIUM
615,20.51,traffic7,6,0,3.6749,5.79,3,MEDIUM
620,20.68,traffic7,7,0,3.8506,8.12,1,MEDIUM
625,20.85,traffic7,8,0,3.9813,5.48,1,MEDIUM
630,21.01,traffic7,6,0,3.6777,9.74,2,MEDIUM
635,21.18,traffic7,6,0,3.5663,6.98,0,MEDIUM
640,21.35,traffic7,7,0,3.6004,5.23,1,MEDIUM
645,21.51,traffic7,8,0,3.815,7.93,1,MEDIUM
650,21.68,traffic7,7,0,3.6361,8.21,1,MEDIUM
655,21.85,traffic7,9,2,3.8997,10.66,2,MEDIUM
660,22.01,traffic7,7,0,3.6326,10.48,2,MEDIUM
665,22.18,traffic7,9,3,3.9097,18.39,2,MEDIUM
670,22.35,traffic7,8,2,3.8739,8.86,1,MEDIUM
675,22.51,traffic7,10,4,4.3296,17.27,2,MEDIUM
680,22.68,traffic7,7,2,3.9341,7.52,3,MEDIUM
685,22.85,traffic7,8,0,3.6836,9.12,1,MEDIUM
690,23.01,traffic7,7,0,3.6457,7.89,1,MEDIUM
695,23.18,traffic7,7,0,3.5769,4.33,0,MEDIUM
700,23.35,traffic7,9,0,3.8425,4.58,2,MEDIUM
705,23.51,traffic7,9,0,3.7173,5.03,0,MEDIUM
710,23.68,traffic7,11,3,4.1401,19.53,2,MEDIUM
715,23.85,traffic7,9,2,3.9549,4.76,2,MEDIUM
720,24.01,traffic7,8,2,3.5878,3.5,1,MEDIUM
725,24.18,traffic7,12,2,4.064,18.58,4,MEDIUM
730,24.35,traffic7,10,0,4.2111,15.74,2,MEDIUM
735,24.51,traffic7,7,0,3.6109,10.4,3,MEDIUM
